name,year,total_loan,average_loan (in years),appearances,starting_formation,goals,average_minutes_played,market_value_at_start (in M €),market_value_at_end (in M €)
Bayer 04 Leverkusen,2004,6,"2,0",104,89,16,84',1.50,8.70
Borussia Mönchengladbach,2004,4,"2,0",57,42,5,77',1.05,2.20
Hamburger SV,2004,4,"1,0",52,36,12,75',7.10,5.75
Hannover 96,2004,3,"1,0",35,32,13,77',5.40,5.40
VfB Stuttgart,2004,3,"1,0",30,28,-,83',5.50,4.25
1.FC Kaiserslautern,2004,2,"1,0",22,19,3,73',-,0.4
Borussia Dortmund,2004,2,"1,0",6,4,-,53',0.5,2.00
Bayern Munich,2004,2,"3,0",49,39,3,90',-,8.00
FC Schalke 04,2004,2,"2,0",49,42,7,89',-,2.30
Hertha BSC,2004,2,"2,0",25,6,2,66',-,1.70
SV Werder Bremen,2004,2,"1,0",12,7,-,55',4.30,3.25
FC Hansa Rostock,2004,1,"2,0",36,31,7,76',-,0.3
1.FSV Mainz 05,2004,1,"1,0",9,8,3,73',0.7,0.7
SC Freiburg,2004,1,"1,0",-,-,-,-,0.7,0.5
VfL Wolfsburg,2004,1,"2,0",35,32,2,89',-,1.00
1.FC Nuremberg,2004,0,-,-,-,-,-,-,-
Arminia Bielefeld,2004,0,-,-,-,-,-,-,-
VfL Bochum,2004,0,-,-,-,-,-,-,-
Bayer 04 Leverkusen,2005,5,"2,0",101,90,2,86',1.25,4.75
Hamburger SV,2005,5,"1,0",78,68,14,78',2.05,4.05
VfB Stuttgart,2005,5,"1,0",66,55,12,74',6.70,5.60
Borussia Mönchengladbach,2005,4,"1,0",37,33,-,89',4.50,2.13
Hannover 96,2005,4,"2,0",75,49,10,81',2.95,1.95
1. FC Köln,2005,3,"1,0",53,45,7,72',2.30,2.30
1.FC Kaiserslautern,2005,2,"1,0",34,26,1,87',1.40,1.85
FC Schalke 04,2005,2,"1,0",43,24,9,88',1.75,1.70
1.FSV Mainz 05,2005,2,"1,0",33,21,4,59',0.5,0.5
Hertha BSC,2005,2,"1,0",48,40,4,75',0.65,1.00
SV Werder Bremen,2005,2,"1,0",37,25,11,78',3.05,4.30
1.FC Nuremberg,2005,1,"1,0",14,14,2,89',0.75,0.75
Arminia Bielefeld,2005,1,"2,0",23,19,2,78',0.175,0.2
Borussia Dortmund,2005,1,"1,0",27,20,6,65',0.5,0.5
Eintracht Frankfurt,2005,1,"1,0",11,10,-,71',0.15,0.15
Bayern Munich,2005,1,"3,0",27,24,-,90',-,1.00
MSV Duisburg,2005,1,"1,0",10,9,2,59',0.5,0.375
VfL Wolfsburg,2005,1,"1,0",13,13,1,83',7.50,5.75
VfB Stuttgart,2006,8,"1,0",119,97,24,78',13.35,10.50
FC Schalke 04,2006,4,"1,0",85,72,7,80',3.10,4.20
1.FSV Mainz 05,2006,4,"1,0",61,41,10,64',1.80,1.90
VfL Wolfsburg,2006,4,"2,0",70,66,8,85',7.35,9.30
Hamburger SV,2006,3,"1,0",52,31,4,79',2.55,2.45
Hannover 96,2006,3,"2,0",53,46,2,78',1.40,1.45
Hertha BSC,2006,3,"2,0",83,68,12,84',0.6,2.25
SV Werder Bremen,2006,3,"1,0",44,22,5,85',3.00,3.10
1.FC Nuremberg,2006,2,"1,0",16,12,-,85',1.05,1.05
Arminia Bielefeld,2006,2,"2,0",24,22,-,83',0.675,1.10
VfL Bochum,2006,2,"1,0",19,9,3,45',2.30,1.80
