name,year,total_loan,average_loan (in years),appearances,starting_formation,goals,average_minutes_played,market_value_at_start (in M €),market_value_at_end (in M €)
Atlético de Madrid,2004,13,"2,0",144,112,11,79',5.50,9.55
Valencia CF,2004,12,"1,0",167,122,12,73',4.25,15.75
Real Sociedad,2004,7,"2,0",38,29,1,67',8.40,16.90
FC Barcelona,2004,6,"2,0",217,198,45,86',-,40.85
Deportivo de La Coruña,2004,6,"1,0",64,44,8,60',11.90,14.45
Real Betis Balompié,2004,5,"1,0",74,63,16,76',3.50,7.15
Racing Santander,2004,5,"1,0",18,14,-,71',1.05,1.55
RCD Espanyol Barcelona,2004,5,"2,0",20,12,-,66',-,3.70
Real Madrid,2004,4,"1,0",45,32,4,79',-,7.30
Sevilla FC,2004,3,"2,0",29,14,1,47',-,1.00
CA Osasuna,2004,2,"1,0",1,-,-,79',0.3,0.6
Athletic Bilbao,2004,2,"1,0",3,1,1,52',0.9,0.9
Real Zaragoza,2004,1,"2,0",4,2,-,45',-,3.00
RCD Mallorca,2004,1,"1,0",3,-,-,29',2.20,2.20
Villarreal CF,2004,1,"2,0",-,-,-,-,-,0.4
Albacete Balompié,2004,1,"1,0",2,2,-,90',0.05,0.05
Levante UD,2004,1,"2,0",7,3,-,79',-,0.25
Málaga CF,2004,0,-,-,-,-,-,-,-
CD Numancia,2004,0,-,-,-,-,-,-,-
Getafe CF,2004,0,-,-,-,-,-,-,-
Valencia CF,2005,11,"2,0",224,195,33,78',28.10,31.25
Atlético de Madrid,2005,8,"2,0",114,85,5,78',9.80,16.55
Sevilla FC,2005,7,"1,0",57,35,9,60',3.20,4.00
Athletic Bilbao,2005,6,"2,0",21,16,-,69',2.30,2.48
FC Barcelona,2005,5,"2,0",137,123,18,84',17.25,19.85
Real Madrid,2005,4,"1,0",83,56,12,75',13.00,11.50
Deportivo Alavés,2005,4,"2,0",27,16,4,53',6.00,6.20
Real Betis Balompié,2005,3,"1,0",20,12,3,62',7.55,7.55
Racing Santander,2005,3,"1,0",12,11,3,78',2.00,2.10
Deportivo de La Coruña,2005,3,"1,0",18,16,-,85',8.80,6.75
RCD Mallorca,2005,2,"1,0",11,6,4,54',2.25,1.55
Real Sociedad,2005,2,"1,0",52,33,1,77',2.00,1.25
RCD Espanyol Barcelona,2005,2,"1,0",18,15,1,89',5.25,5.50
Villarreal CF,2005,2,"1,0",27,17,1,85',1.00,3.25
Real Zaragoza,2005,1,"1,0",1,1,1,77',-,-
Celta de Vigo,2005,1,"2,0",1,1,-,58',0.75,0.75
Málaga CF,2005,1,"2,0",13,13,-,90',2.50,2.50
Cádiz CF,2005,1,"1,0",-,-,-,-,0.05,0.05
CA Osasuna,2005,0,-,-,-,-,-,-,-
Getafe CF,2005,0,-,-,-,-,-,-,-
Deportivo de La Coruña,2006,10,"1,0",87,51,10,63',8.35,7.80
Atlético de Madrid,2006,8,"1,0",78,64,12,80',6.35,12.45
Valencia CF,2006,8,"2,0",144,109,9,70',28.35,28.40
Real Madrid,2006,6,"1,0",198,146,28,87',44.50,43.00
Sevilla FC,2006,5,"1,0",39,21,3,63',11.30,13.80
Villarreal CF,2006,5,"1,0",101,86,11,78',20.60,24.15
RCD Mallorca,2006,4,"2,0",30,20,2,80',4.50,4.50
RCD Espanyol Barcelona,2006,4,"1,0",35,27,-,83',2.70,2.70
Real Betis Balompié,2006,3,"2,0",66,54,7,77',2.55,3.85
Racing Santander,2006,3,"2,0",10,9,-,82',1.98,1.98
Levante UD,2006,3,"2,0",33,20,2,57',0.6,1.25
Real Zaragoza,2006,2,"1,0",27,20,-,64',4.85,2.60
Real Sociedad,2006,2,"1,0",13,12,-,77',1.58,1.58
Celta de Vigo,2006,2,"2,0",28,18,7,59',4.30,3.30
Recreativo Huelva,2006,2,"2,0",6,6,1,71',-,-
Getafe CF,2006,2,"1,0",11,7,1,80',6.00,4.00
Gimnàstic de Tarragona,2006,2,"1,0",4,4,-,58',-,-
FC Barcelona,2006,1,"2,0",30,15,3,90',5.50,5.50
CA Osasuna,2006,1,"2,0",5,2,-,47',0.35,0.35
Athletic Bilbao,2006,1,"2,0",4,3,-,74',-,0.175
Valencia CF,2007,15,"1,0",240,182,10,81',49.20,43.55
Villarreal CF,2007,11,"1,0",231,198,23,85',20.30,31.60
Levante UD,2007,10,"1,0",225,192,33,75',17.25,13.60
Real Betis Balompié,2007,8,"2,0",216,183,22,78',8.45,9.55
Real Murcia CF,2007,8,"1,0",124,109,4,80',3.30,5.80
Racing Santander,2007,6,"1,0",137,108,11,75',3.15,4.70
Atlético de Madrid,2007,5,"1,0",132,103,9,75',13.40,12.10
Sevilla FC,2007,5,"1,0",93,85,10,81',9.12,12.30
Real Madrid,2007,5,"1,0",109,86,19,80',13.60,19.10
RCD Espanyol Barcelona,2007,5,"1,0",53,34,-,71',5.40,5.90
Deportivo de La Coruña,2007,5,"1,0",112,87,5,76',3.80,3.50
Real Zaragoza,2007,4,"1,0",80,49,6,76',17.00,16.80
RCD Mallorca,2007,4,"1,0",105,63,13,71',3.00,4.50
Getafe CF,2007,4,"1,0",46,35,5,69',5.30,4.90
CA Osasuna,2007,3,"1,0",36,8,1,31',1.45,1.70
Real Valladolid CF,2007,3,"1,0",37,29,7,65',2.50,2.00
UD Almería,2007,3,"1,0",92,66,13,76',2.10,2.50
Athletic Bilbao,2007,2,"1,0",30,29,5,85',2.30,2.30
Recreativo Huelva,2007,2,"1,0",6,2,-,28',0.3,0.2
FC Barcelona,2007,1,"1,0",11,4,-,50',0.5,0.8
Racing Santander,2008,9,"1,0",205,127,31,63',12.30,9.40
Valencia CF,2008,9,"1,0",173,112,23,64',24.65,27.80
RCD Mallorca,2008,8,"2,0",291,231,50,71',3.90,5.50
Deportivo de La Coruña,2008,8,"1,0",177,145,24,80',9.20,9.70
Villarreal CF,2008,8,"2,0",193,150,25,82',21.10,20.60
Sevilla FC,2008,7,"2,0",188,172,40,85',11.97,21.30
Atlético de Madrid,2008,6,"1,0",219,189,34,87',17.00,18.20
CA Osasuna,2008,5,"1,0",74,28,6,48',4.60,3.40
Athletic Bilbao,2008,5,"1,0",76,55,5,71',3.30,3.00
RCD Espanyol Barcelona,2008,4,"2,0",94,82,14,85',2.50,3.00
Real Betis Balompié,2008,3,"1,0",73,43,5,81',4.60,3.50
Real Valladolid CF,2008,3,"1,0",38,26,-,63',3.20,3.70
Sporting Gijón,2008,3,"1,0",90,81,2,87',0.5,0.3
UD Almería,2008,3,"1,0",94,78,13,75',2.30,3.60
