name,year,total_loan,average_loan (in years),appearances,starting_formation,goals,average_minutes_played,market_value_at_start (in M €),market_value_at_end (in M €)
Inter Milan,2004,27,"1,0",409,293,32,73',15.43,39.29
Juventus FC,2004,18,"2,0",449,385,49,82',9.00,33.13
AC Milan,2004,17,"1,0",296,217,17,83',8.05,26.40
Palermo FC,2004,14,"1,0",390,312,46,81',1.80,13.20
AS Roma,2004,12,"2,0",196,145,11,78',14.00,28.13
Chievo Verona,2004,9,"1,0",144,109,17,81',0.25,2.48
Udinese Calcio,2004,8,"2,0",160,112,32,63',0.2,3.60
Bologna FC 1909,2004,7,"1,0",83,65,5,75',0.5,4.86
Brescia Calcio,2004,6,"1,0",84,53,8,77',0.35,2.33
Atalanta BC,2004,6,"1,0",56,46,5,76',1.20,1.70
US Lecce,2004,5,"1,0",74,54,1,73',-,1.85
UC Sampdoria,2004,5,"1,0",115,76,12,81',8.40,9.95
ACR Messina,2004,5,"1,0",102,82,11,71',-,1.25
Reggina 1914,2004,5,"2,0",96,82,25,79',-,3.40
Parma Calcio 1913,2004,4,"1,0",40,28,5,61',0.85,1.15
ACF Fiorentina,2004,4,"2,0",62,57,5,85',-,2.50
ACN Siena 1904,2004,4,"1,0",44,41,1,87',1.15,1.40
SS Lazio,2004,3,"1,0",14,4,1,62',5.20,6.70
US Livorno 1915,2004,3,"1,0",62,53,1,85',0.9,0.6
Cagliari Calcio,2004,2,"1,0",34,16,3,87',0.3,0.6
AC Milan,2005,18,"2,0",369,268,39,82',14.73,21.80
Inter Milan,2005,18,"1,0",293,224,26,78',31.15,21.10
Juventus FC,2005,18,"2,0",359,283,27,82',35.80,30.65
Udinese Calcio,2005,16,"1,0",230,148,22,65',9.05,14.60
Chievo Verona,2005,13,"1,0",254,192,33,84',4.28,3.88
AS Roma,2005,10,"2,0",221,164,22,69',34.40,26.10
Reggina 1914,2005,10,"1,0",108,76,6,68',3.20,2.55
UC Sampdoria,2005,8,"1,0",238,216,23,84',2.50,1.30
ACR Messina,2005,8,"1,0",90,51,5,69',2.95,3.00
ACD Treviso,2005,8,"1,0",124,101,8,74',0.2,0.2
Palermo FC,2005,7,"2,0",147,101,22,80',4.10,8.10
US Lecce,2005,7,"1,0",115,93,11,73',2.25,2.25
US Livorno 1915,2005,7,"2,0",125,102,18,83',3.53,2.68
Parma Calcio 1913,2005,6,"1,0",94,90,18,88',17.15,20.65
ACF Fiorentina,2005,6,"1,0",105,88,6,82',22.50,9.40
SS Lazio,2005,5,"1,0",81,64,3,86',15.05,8.65
FC Empoli,2005,5,"1,0",111,98,24,85',2.65,4.30
Ascoli Calcio,2005,4,"1,0",78,60,3,72',0.825,1.00
ACN Siena 1904,2005,4,"1,0",100,91,16,87',2.00,5.30
Cagliari Calcio,2005,1,"1,0",6,5,-,81',-,0.05
Udinese Calcio,2006,18,"1,0",271,187,17,82',10.40,14.90
Inter Milan,2006,17,"1,0",195,159,19,81',11.95,12.53
AC Milan,2006,15,"2,0",399,328,16,84',8.55,21.53
AS Roma,2006,12,"1,0",258,169,22,79',18.50,26.00
Atalanta BC,2006,12,"1,0",231,174,17,78',5.15,5.63
Chievo Verona,2006,11,"2,0",187,147,11,77',2.00,2.30
Palermo FC,2006,10,"2,0",173,140,24,78',12.85,24.85
UC Sampdoria,2006,10,"1,0",108,65,13,68',3.10,3.80
Reggina 1914,2006,10,"1,0",130,89,7,73',1.98,2.88
SS Lazio,2006,9,"1,0",52,39,6,80',7.40,5.05
ACR Messina,2006,6,"1,0",88,55,1,79',3.80,4.10
Calcio Catania,2006,6,"1,0",124,102,4,75',0.825,2.75
Parma Calcio 1913,2006,5,"1,0",68,49,-,74',1.65,1.70
ACF Fiorentina,2006,5,"1,0",110,88,11,80',14.70,13.35
ACN Siena 1904,2006,5,"1,0",53,53,1,80',0.825,0.825
Torino FC,2006,4,"1,0",36,19,-,48',1.10,2.00
FC Empoli,2006,3,"1,0",59,51,14,90',1.00,1.00
US Livorno 1915,2006,2,"1,0",29,20,2,63',1.45,1.35
Cagliari Calcio,2006,2,"1,0",36,30,2,80',0.15,0.15
Ascoli Calcio,2006,1,"3,0",26,20,4,89',0.2,0.2
Udinese Calcio,2007,24,"1,0",431,295,52,75',13.05,21.10
Inter Milan,2007,21,"1,0",246,151,36,78',28.80,31.75
AC Milan,2007,20,"1,0",452,380,36,87',26.30,38.65
AS Roma,2007,15,"1,0",200,119,27,77',18.05,15.60
Juventus FC,2007,14,"1,0",301,243,22,88',22.90,29.00
SS Lazio,2007,13,"1,0",180,126,7,75',15.00,17.85
Reggina 1914,2007,13,"1,0",202,160,12,78',1.20,2.65
Atalanta BC,2007,11,"1,0",167,127,17,76',3.00,4.30
SSC Napoli,2007,11,"1,0",144,102,13,74',10.45,8.15
Palermo FC,2007,10,"1,0",212,163,28,86',14.25,14.00
UC Sampdoria,2007,10,"1,0",154,114,16,78',2.40,2.90
ACN Siena 1904,2007,10,"1,0",121,72,13,64',2.95,3.00
Parma Calcio 1913,2007,9,"1,0",148,116,18,70',4.05,3.25
Calcio Catania,2007,9,"1,0",101,69,15,63',3.30,2.70
Genoa CFC,2007,8,"1,0",149,121,12,76',0.95,3.15
ACF Fiorentina,2007,8,"1,0",56,34,6,60',4.10,3.30
Cagliari Calcio,2007,6,"1,0",117,107,13,86',1.00,1.00
Torino FC,2007,4,"1,0",56,46,7,77',0.5,1.10
FC Empoli,2007,4,"2,0",103,91,40,83',1.05,1.25
US Livorno 1915,2007,2,"1,0",55,28,11,81',2.45,2.45
Udinese Calcio,2008,35,"1,0",594,392,80,77',24.65,38.95
UC Sampdoria,2008,29,"1,0",544,366,40,77',11.85,12.85
AS Roma,2008,25,"1,0",294,193,13,72',18.55,18.50
Genoa CFC,2008,23,"1,0",391,288,98,79',11.20,24.45
Inter Milan,2008,21,"1,0",275,187,32,80',40.75,44.55
US Lecce,2008,17,"1,0",204,159,14,75',2.30,3.23
Reggina 1914,2008,17,"1,0",266,213,19,77',4.83,4.70
SS Lazio,2008,16,"1,0",300,253,28,84',17.15,14.95
ACF Fiorentina,2008,16,"1,0",172,106,21,78',8.70,9.90
Palermo FC,2008,16,"1,0",261,205,34,80',19.60,17.65
ACN Siena 1904,2008,16,"1,0",243,151,12,77',2.85,2.95
Juventus FC,2008,14,"1,0",257,176,21,82',7.85,7.70
Chievo Verona,2008,14,"2,0",320,278,29,84',8.83,8.45
AC Milan,2008,12,"1,0",219,170,27,79',15.75,25.20
Atalanta BC,2008,12,"1,0",168,83,14,72',2.40,1.90
Calcio Catania,2008,12,"1,0",178,124,7,73',8.55,6.55
Torino FC,2008,7,"1,0",152,118,20,81',10.50,8.60
Cagliari Calcio,2008,5,"1,0",66,31,3,76',1.30,1.75
SSC Napoli,2008,5,"1,0",81,70,8,83',2.95,1.95
Bologna FC 1909,2008,3,"1,0",33,20,3,72',1.85,1.15
Udinese Calcio,2009,44,"2,0",771,587,90,82',36.63,52.08
Genoa CFC,2009,33,"1,0",409,301,39,79',41.05,47.03
Inter Milan,2009,25,"1,0",383,270,28,79',41.70,45.90
SSC Bari,2009,24,"1,0",375,274,33,77',7.20,7.60
ACN Siena 1904,2009,24,"1,0",429,337,35,81',6.68,9.20
Parma Calcio 1913,2009,23,"1,0",323,238,25,75',16.00,12.85
Palermo FC,2009,22,"1,0",394,294,32,78',23.90,22.00
Chievo Verona,2009,22,"1,0",370,278,41,76',3.60,6.25
Juventus FC,2009,21,"1,0",369,257,22,84',21.85,25.48
UC Sampdoria,2009,21,"1,0",429,332,33,75',13.05,22.90
SSC Napoli,2009,17,"1,0",217,151,21,69',21.33,18.70
ACF Fiorentina,2009,16,"1,0",288,224,35,78',8.20,8.58
AS Roma,2009,15,"1,0",234,158,18,72',20.60,18.00
SS Lazio,2009,15,"1,0",229,151,14,79',18.30,10.25
Atalanta BC,2009,15,"1,0",204,154,16,83',4.95,7.30
AC Milan,2009,11,"1,0",181,118,8,85',6.30,8.55
Calcio Catania,2009,10,"1,0",178,147,44,79',9.20,8.33
US Livorno 1915,2009,9,"1,0",158,127,30,83',1.40,3.28
Cagliari Calcio,2009,7,"1,0",56,36,3,77',0.9,0.975
Bologna FC 1909,2009,6,"1,0",88,60,26,70',6.73,7.15
