,name,number_votes,share_votes,district,affiliation
0,CSÁRDI ANTAL,21778,48.47,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 01. számú OEVK - Budapest V. kerület",Dialogue-coalition
1,BÖRÖCZ LÁSZLÓ,19144,42.6,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 01. számú OEVK - Budapest V. kerület",Fidesz/KDNP
2,HOTZ ANTAL,1975,4.4,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 01. számú OEVK - Budapest V. kerület",MKKP
3,SZIKORA ISTVÁN,1229,2.74,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 01. számú OEVK - Budapest V. kerület",Others
4,MURÁNYI GERGELY,543,1.21,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 01. számú OEVK - Budapest V. kerület",MEMO
5,SWIERKIEWICZ LARION,186,0.41,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 01. számú OEVK - Budapest V. kerület",Normal party
6,SIMON GYÖRGY,79,0.18,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 01. számú OEVK - Budapest V. kerület",Others
7,OROSZ ANNA,27881,51.94,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 02. számú OEVK - Budapest XI. kerület",Dialogue-coalition
8,DR. SIMICSKÓ ISTVÁN,21864,40.73,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 02. számú OEVK - Budapest XI. kerület",Fidesz/KDNP
9,NOVÁK ELŐD,1653,3.08,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 02. számú OEVK - Budapest XI. kerület",Others
10,MENDLY MIKLÓS,1607,2.99,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 02. számú OEVK - Budapest XI. kerület",MKKP
11,SZENES GÁBOR,458,0.85,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 02. számú OEVK - Budapest XI. kerület",MEMO
12,BILLEIN PIROSKA,159,0.3,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 02. számú OEVK - Budapest XI. kerület",Normal party
13,BARABÁS GYÖRGY,56,0.1,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 02. számú OEVK - Budapest XI. kerület",Others
14,HAJNAL MIKLÓS,25323,48.42,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 03. számú OEVK - Budapest XII. kerület",Dialogue-coalition
15,DR. FÜRJES BALÁZS,21872,41.82,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 03. számú OEVK - Budapest XII. kerület",Fidesz/KDNP
16,KOVÁCS GERGELY,2861,5.47,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 03. számú OEVK - Budapest XII. kerület",MKKP
17,DR. GRUNDTNER ANDRÁS,1163,2.22,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 03. számú OEVK - Budapest XII. kerület",Others
18,HAJDU MÁRIA,680,1.3,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 03. számú OEVK - Budapest XII. kerület",Others
19,JENEI DÁVID,398,0.76,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 03. számú OEVK - Budapest XII. kerület",MEMO
20,ECSENYI SZILÁRD,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 03. számú OEVK - Budapest XII. kerület",Others
21,LINKA PÉTER,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 03. számú OEVK - Budapest XII. kerület",Others
22,TÓTH MIKLÓS,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 03. számú OEVK - Budapest XII. kerület",Normal party
23,TORDAI BENCE,29993,51.89,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 04. számú OEVK - Budapest II. kerület",Dialogue-coalition
24,DR. GÓR CSABA,23468,40.6,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 04. számú OEVK - Budapest II. kerület",Fidesz/KDNP
25,JUHÁSZ VERONIKA,2130,3.69,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 04. számú OEVK - Budapest II. kerület",MKKP
26,NAGY ATTILA,1352,2.34,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 04. számú OEVK - Budapest II. kerület",Others
27,HORVÁTH DIÁNA,623,1.08,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 04. számú OEVK - Budapest II. kerület",MEMO
28,LÁZ JÓZSEF,235,0.41,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 04. számú OEVK - Budapest II. kerület",Normal party
29,BENYOVSZKY GÁBOR,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 04. számú OEVK - Budapest II. kerület",Others
30,DR. OLÁH LAJOS,20561,51.39,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 05. számú OEVK - Budapest VII. kerület",Dialogue-coalition
31,KOVÁCS BALÁZS NORBERT,15119,37.79,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 05. számú OEVK - Budapest VII. kerület",Fidesz/KDNP
32,TERDIK ROLAND,2228,5.57,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 05. számú OEVK - Budapest VII. kerület",MKKP
33,DR. POPÉLY GYULA,1467,3.67,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 05. számú OEVK - Budapest VII. kerület",Others
34,MAJOR GERGELY RÓBERT,638,1.59,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 05. számú OEVK - Budapest VII. kerület",MEMO
35,FERGE ANIKÓ,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 05. számú OEVK - Budapest VII. kerület",Normal party
36,JÁMBOR ANDRÁS,21462,48.31,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 06. számú OEVK - Budapest VIII. kerület",Dialogue-coalition
37,SÁRA BOTOND,18561,41.78,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 06. számú OEVK - Budapest VIII. kerület",Fidesz/KDNP
38,DÚRÓ DÓRA,2159,4.86,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 06. számú OEVK - Budapest VIII. kerület",Others
39,DÖME ZSUZSANNA,1933,4.35,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 06. számú OEVK - Budapest VIII. kerület",MKKP
40,HAGA BÉLA,307,0.69,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 06. számú OEVK - Budapest VIII. kerület",Normal party
41,CSÉPLŐ DÁNIEL,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 06. számú OEVK - Budapest VIII. kerület",Others
42,BOROS GYÖRGY,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 06. számú OEVK - Budapest VIII. kerület",Others
43,UNGÁR DÁNIEL,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 06. számú OEVK - Budapest VIII. kerület",MEMO
44,SZABÓNÉ KÁLLAI SZILVIA,0,0.0,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 06. számú OEVK - Budapest VIII. kerület",Others
45,HISZÉKENY DEZSŐ,35248,60.53,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 07. számú OEVK - Budapest XIII. kerület",Dialogue-coalition
46,HARRACH TAMÁS,17697,30.39,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 07. számú OEVK - Budapest XIII. kerület",Fidesz/KDNP
47,DR. ALEVA MÁRTA,2445,4.2,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 07. számú OEVK - Budapest XIII. kerület",MKKP
48,NAGY ZSOLT,1907,3.27,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 07. számú OEVK - Budapest XIII. kerület",Others
49,HALMI BAJNOK,675,1.16,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 07. számú OEVK - Budapest XIII. kerület",MEMO
50,DR. VARGA ISTVÁN KÁROLY,263,0.45,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 07. számú OEVK - Budapest XIII. kerület",Normal party
51,DR. HADHÁZY ÁKOS,30159,54.09,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 08. számú OEVK - Budapest XIV. kerület",Dialogue-coalition
52,BORBÉLY ÁDÁM,20373,36.54,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 08. számú OEVK - Budapest XIV. kerület",Fidesz/KDNP
53,CZEGLÉDI JÁNOS,2108,3.78,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 08. számú OEVK - Budapest XIV. kerület",Others
54,RÓZSA REGINA,1946,3.49,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 08. számú OEVK - Budapest XIV. kerület",MKKP
55,JANICSÁK ISTVÁN,816,1.46,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 08. számú OEVK - Budapest XIV. kerület",MEMO
56,DUMA NORBERT,255,0.46,"ORSZÁGGYŰLÉSI KÉPVISELŐK VÁLASZTÁSABUDAPEST, 08. számú OEVK - Budapest XIV. kerület",Normal party
